|||Sütunlar|
Satırlar|||Tüketici Madde Fiyatları (2003=100)|
|||İstanbul-TR10|
||||
2005|01-Ocak|0441001. (Su Faturası)|2.2301|
||0451001. (Elektrik Ücreti)|0.16|
||0452101. (Doğal Gaz)|0.41|
||0830009. (İnternet Ücreti)|13.6864|
|02-Şubat|0441001. (Su Faturası)|2.2301|
||0451001. (Elektrik Ücreti)|0.16|
||0452101. (Doğal Gaz)|0.41|
||0830009. (İnternet Ücreti)|13.6917|
|03-Mart|0441001. (Su Faturası)|2.2301|
||0451001. (Elektrik Ücreti)|0.16|
||0452101. (Doğal Gaz)|0.43|
||0830009. (İnternet Ücreti)|13.6917|
|04-Nisan|0441001. (Su Faturası)|2.2301|
||0451001. (Elektrik Ücreti)|0.16|
||0452101. (Doğal Gaz)|0.43|
||0830009. (İnternet Ücreti)|13.9496|
|05-Mayıs|0441001. (Su Faturası)|2.0411|
||0451001. (Elektrik Ücreti)|0.16|
||0452101. (Doğal Gaz)|0.43|
||0830009. (İnternet Ücreti)|14.2074|
|06-Haziran|0441001. (Su Faturası)|2.0411|
||0451001. (Elektrik Ücreti)|0.16|
||0452101. (Doğal Gaz)|0.43|
||0830009. (İnternet Ücreti)|14.7099|
|07-Temmuz|0441001. (Su Faturası)|2.0411|
||0451001. (Elektrik Ücreti)|0.16|
||0452101. (Doğal Gaz)|0.45|
||0830009. (İnternet Ücreti)|14.3048|
|08-Ağustos|0441001. (Su Faturası)|2.0411|
||0451001. (Elektrik Ücreti)|0.16|
||0452101. (Doğal Gaz)|0.45|
||0830009. (İnternet Ücreti)|14.2357|
|09-Eylül|0441001. (Su Faturası)|2.0411|
||0451001. (Elektrik Ücreti)|0.16|
||0452101. (Doğal Gaz)|0.47|
||0830009. (İnternet Ücreti)|13.5793|
|10-Ekim|0441001. (Su Faturası)|2.0411|
||0451001. (Elektrik Ücreti)|0.16|
||0452101. (Doğal Gaz)|0.47|
||0830009. (İnternet Ücreti)|13.0636|
|11-Kasım|0441001. (Su Faturası)|2.0411|
||0451001. (Elektrik Ücreti)|0.16|
||0452101. (Doğal Gaz)|0.49|
||0830009. (İnternet Ücreti)|13.0636|
|12-Aralık|0441001. (Su Faturası)|2.0411|
||0451001. (Elektrik Ücreti)|0.16|
||0452101. (Doğal Gaz)|0.49|
||0830009. (İnternet Ücreti)|11.3426|
2006|01-Ocak|0441001. (Su Faturası)|1.62|
||0451001. (Elektrik Ücreti)|0.16|
||0452101. (Doğal Gaz)|0.49|
||0830009. (İnternet Ücreti)|76.43|
|02-Şubat|0441001. (Su Faturası)|1.62|
||0451001. (Elektrik Ücreti)|0.16|
||0452101. (Doğal Gaz)|0.49|
||0830009. (İnternet Ücreti)|76.4334|
|03-Mart|0441001. (Su Faturası)|1.62|
||0451001. (Elektrik Ücreti)|0.16|
||0452101. (Doğal Gaz)|0.52|
||0830009. (İnternet Ücreti)|77.4654|
|04-Nisan|0441001. (Su Faturası)|1.62|
||0451001. (Elektrik Ücreti)|0.16|
||0452101. (Doğal Gaz)|0.52|
||0830009. (İnternet Ücreti)|77.4654|
|05-Mayıs|0441001. (Su Faturası)|1.62|
||0451001. (Elektrik Ücreti)|0.16|
||0452101. (Doğal Gaz)|0.52|
||0830009. (İnternet Ücreti)|77.4654|
|06-Haziran|0441001. (Su Faturası)|1.62|
